"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
2011-04-01,2315.79488159276,352.056118333715,1152.61967870184,149.562237263839,1291.28847435045,1377.4602223687,1831.14360265795,787.861318415453,863.405264516727,37641.5623602613
2011-07-01,2313.75188714527,342.773919633284,1148.52469905511,149.262253385435,1310.9447694554,1378.4990124728,1833.37010225505,793.179407339146,866.884895623538,37992.2504026649
2011-10-01,2317.96572725657,337.299865456503,1143.21329413035,149.2676992188,1310.4573104519,1386.24996596104,1840.55890418974,794.417102153819,865.589748779259,38314.6115553226
2012-01-01,2308.19690320115,328.191116274731,1139.77033260355,148.463595979887,1335.93682104393,1391.41427836628,1847.47785427153,796.948187311684,865.284441968848,38494.8928605591
2012-04-01,2303.50575999674,320.479042190091,1137.30005620114,148.545159392688,1340.09580274066,1389.81987068779,1854.79130425705,799.956205101172,865.356042034968,38904.7473256964
2012-07-01,2299.53749619159,315.506350997057,1133.18851913049,147.602046880403,1355.43590517604,1406.23300050697,1858.96398349958,801.13722696002,862.997802906621,39188.649550919
2012-10-01,2288.57777397302,336.939744547675,1114.4792466456,147.532599661402,1372.04473492102,1409.4456054018,1867.76659777462,806.90574649063,866.716525349903,39570.4424577557
2013-01-01,2297.03926135486,313.176580134608,1128.56093145965,147.621693396432,1362.44851880704,1396.55088138712,1870.48879725421,806.393716616369,860.903954302981,39875.3672940963
2013-04-01,2295.06535438385,313.068167396356,1126.63332325579,148.54756248922,1382.76798446376,1414.68258529274,1876.57570533542,809.885620018102,863.655205916214,40103.9856728659
2013-07-01,2305.8933406783,313.33623729887,1130.33485367982,152.552648542627,1384.94012688073,1413.02735560382,1880.05588723229,813.754377632754,867.244162470488,40342.6400494333
2013-10-01,2315.35957277724,307.530904889438,1134.07037762045,156.339198212449,1389.90509130428,1415.80587039101,1885.35857508703,814.556936512335,867.597876121666,40555.6240712583
2014-01-01,2310.6966397489,305.094004997484,1130.92303973791,159.617828871516,1385.94005579888,1435.3275245872,1884.10284721991,814.799686618016,872.199306740239,40572.8221869536
2014-04-01,2319.79710460853,300.712169018863,1134.03091410646,164.692517716946,1395.20976471974,1434.31912257559,1892.93474520044,817.527782144672,875.633438104833,40843.7921399259
2014-07-01,2325.6346121305,297.582129559888,1136.26541948874,167.017988221775,1399.2809274551,1442.38840303228,1905.57138665306,818.242078753515,878.013951410402,40967.5235782014
2014-10-01,2328.05654276996,300.653170737252,1136.35462702929,170.458415816041,1402.33847111619,1459.28824871624,1911.46657790674,822.118592850137,882.794524578568,41105.9679872464
2015-01-01,2324.0180846155,305.194069776741,1133.87095979493,172.094073797872,1419.50388647832,1452.17970483558,1909.05245502685,820.011277758161,881.238695141668,41017.9202199094
2015-04-01,2326.23499419529,301.424921035466,1132.62185280708,172.644731963413,1420.3077498553,1460.965091228,1908.83949921332,821.966349885015,882.274979015741,40928.8033015443
